LISTADO GENERAL DE PRECIOS,C/U,GANA,V/U
BATIDORAS,$,$,$
"ANILLO DE  COBRE  1/2""","0,30","0,21","0,51"
"ANILLO DE  COBRE DE 5/8""","0,50","0,35","0,85"
"ANILLO DE COBRE  DE 3/4""","0,80","0,56","1,36"
"ANILLO DE COBRE  DE 7/8""","0,80","0,56","1,36"
"ANILLO DE COBRE  DE  1""","1,00","0,70","1,70"
ANILLO  DE COBRE  1 1/8 ,"1,40","0,98","2,38"
,,"0,5",V/U
ANTIVIBRADORES,,,
"ANTIVIBRADOR  3/8""","8,00","5,60","13,60"
"ANTIVIBRADOR  1/4""","9,50","6,65","16,15"
"ANTIVIBRADOR  1/2""","10,00","7,00","17,00"
"ANTIVIBRADOR  5/8""","10,50","7,35","17,85"
ARMAFLEX,,,
"ARMFLEX DE  1/4"" X 3/8"" X 1,80 MTS","0,80","0,56","1,36"
"ARMAFLEX DE 3/8""  X  3/8""  X  1,80 MTS","0,80","0,56","1,36"
"ARMAFLEX DE  1/2"" X 3/8""  X 1,80 MTS","0,80","0,56","1,36"
"ARMAFLEX DE 5/8""  X  3/8""  X 1,80 MTS","0,95","0,67","1,62"
"ARMAFLEX DE  3/4""  X  3/8""  X  1,80 MTS","0,95","0,67","1,62"
"ARMAFLEX DE 7/8""  X  3/8""  X  1,80 MTS","1,04","0,73","1,77"
"ARMAFLEX DE 1"" X 3/8""  X   1,80 MTS","1,35","0,95","2,30"
"ARMAFLEX DE 1  1/8""  X  3/8""   X 1,80 MTS","1,50","1,05","2,55"
"ARMAFLEX DE 1  3/8""  X  3/8""   X  1,80 MTS","1,53","1,09","2,62"
ASPAS  METALICAS ,,,
"ASPA DE 4""","1,00","0,70","1,70"
"ASPA DE 5""","1,00","0,70","1,70"
"ASPA  DE  6""","1,00","0,70","1,70"
"ASPA DE 7""","1,50","1,05","2,55"
"ASPA DE 8""","1,50","1,05","2,55"
ASPAS  PLASTICA ,,,
"ASPA DE  NEVERA  100 EJE 3,17  CCW","1,50","1,05","2,55"
"ASPA DE  NEVERA  100 EJE 3,17  CW","1,50","1,05","2,55"
"ASPA DE  NEVERA  100 EJE  4,76  CCW","1,50","1,05","2,55"
"ASPA DE  NEVERA  100 EJE  4,76  CW","1,50","1,05","2,55"
"ASPA DE  NEVERA  110 EJE 3,17  CCW","1,50","1,05","2,55"
"ASPA DE  NEVERA  110 EJE  4,76  CCW","1,50","1,05","2,55"
BASES PARA MINI SPLIT,,,
LBA-500 12000 A 18000 BTU,"8,72","6,10","14,82"
BASE PARA MINI SPLIT  DE 18000 BTU A 24000 BTU  R-BMP-2  AR  COMPONENTS,"9,00","6,30","15,30"
LBA-650  24000 A 36000 BTU,"12,00","8,40","20,40"
BIMETALICOS  PARA NEVERAS,,,
BIMETALICOS UNIVERSAL,"2,00","1,40","3,40"
BIMETALICO K11  FABRICADOR DE HIELO WHIRPOOL  4 CABLES,"3,50","2,45","5,95"
BIMETALICO MABE ORIGINAL L60,"3,50","2,45","5,95"
BIMETALICO ORIGINAL L140 NEV /GE  ,"3,50","2,45","5,95"
BIMETALICO ORIGINAL L55  MARRON/MARRON,"3,50","2,45","5,95"
BIMETALICO ORIGINAL L55  NARANJA/ROSADO,"3,50","2,45","5,95"
BIMEGTAL WHIRPOOL USA  L-32  627985B-025,"3,50","2,45","5,95"
BIMEGTAL WHIRPOOL FABRICADOR DE HIELO 627985,"3,50","2,45","5,95"
BIMETALICO N8  2  CABLES PARA NEVERAS ASIATICAS ,"3,50","2,45","5,95"
BIMETALICO N12  3 CABLES PARA NEVERAS ASIATICAS ,"3,50","2,45","5,95"
BIMETALICO 4 CABLES TRIPLE CONECTOR C/FUSIBLE Y SENSON AMBIENTE ,"3,50","2,45","5,95"
BIMETALICO NEV/ASIA  3 CABLES R/N/M  CON FUSIBLE Y CON CONECTOR  JB2002A,"3,50","2,45","5,95"
BIMETALICOS  MABE ORIG 3 CABLES R/N/M  BLISTER SENSOR Y FUSIBLE,"3,50","2,45","5,95"
BIMETALICOS NEV ASIATICA LG 4 CABLES CON  SENSOR  CON CONECTOR  JB2002T,"3,50","2,45","5,95"
BIMETALICOS NEV ASIATICA LG 4 CABLES CON  SENSOR  CON CONECTOR  CON FUSIBLE  JB2005A,"3,50","2,45","5,95"
BIMETALICOS NEV ASIATICA LG 4 CABLES CON  DOBLE SENSOR  CON CONECTOR   JB2005N,"3,50","2,45","5,95"
BOMBAS DE VACIO,,,
"BOMBA DE VACIO 2 ETAPAS  1/4 115V/60HZ  1,5CFM  -1,7CFM","66,10","46,27","112,37"
"BOMBA DE VACIO 2 ETAPAS 2Z-3  1/3  115V  60HZ  MC/ED  2,75 CFM-3 CFM","85,28","59,70","144,98"
BOMBAS PARA SPLIT,,,
BOMBA  AP1200  120AC  ,"5,50","3,85","9,35"
BOMBILLOS PARA NEVERAS,,,
BOMBILLO PEQUEÑO ROSCA E-12 10WW/110V,"1,10","0,77","1,87"
BOMBONAS  RECARGABLES Y BOMBONAS VACIAS DESECHABLES ,,,
"BOMBONA RECARGABLE  VACIA  P00268 DE 1,5 KG P/R-134a","17,65","12,36","30,01"
"BOMBONA  DESECHABLE VACIA DE 13,6 KG","0,60","0,42","1,02"
CABLES UNIVESALR  PARA PINZA AMPERIMETRICA Y CAPACIMETROS,,,
CABLE UNIV PARA PINZA AMPERIMETRICA (MULTIMETRO O TESTER),"1,50","1,05","2,55"
CABLE UNIV DE AMPERIMETRO,"2,00","1,40","3,40"
CAJA PROTECTORA DE THERMOSTATO,,,
"CAJA TG-4  LARGO=23CM   ANCHO 13CM   ALTURA  9,7 CM EVERWELL","6,00","4,20","10,20"
CAJA TG-2  LARGO=16CM   ANCHO 14CM   ALTURA  8 CM  EVERWELL,"4,00","2,80","6,80"
CAPACIMETROS   ,,,
CAPACIMETRO  CM9601A,"15,75","11,03","26,78"
CAPACIMETRO  LECTOR TEMPERATURA  Y VOLTIMETRO,"24,00","16,80","40,80"
CAPACITORES DE ARRANQUE,,,
CAPACITOR  DE 72-86-1,"1,80","1,26","3,06"
CAPACITOR  DE 72-86-2,"1,80","1,26","3,06"
CAPACITOR  DE 72-86-3,"1,80","1,26","3,06"
CAPACITOR DE 86-106-1,"1,80","1,26","3,06"
CAPACITOR DE 86-106-2,"1,80","1,26","3,06"
CAPACITOR DE 86-106-3,"1,80","1,26","3,06"
CAPACITOR DE 108-130-1,"1,80","1,26","3,06"
CAPACITOR DE 108-130-2,"1,80","1,26","3,06"
CAPACITOR DE 108-130-3,"1,80","1,26","3,06"
